title,composedby,key,timesig,bars,chordprog,key_tonic_pc,key_mode,key_estimada,key_score,num_tokens,funcional_prog
I Loves You Porgy,George Gershwin,F,4 4,32,"FM7 Dm7 | BbM7 | Gm7 C7 | FM7 |
Am7 D7b9 | Gm7 D7alt | Gm7 Gm7/C | FM7 |
FM7 Dm7 | BbM7 | Gm7 C7 | FM7 |
Am7 D7b9 | Gm7 D7alt | Gm7 Gm7/C | FM7 FM7 Bm7b5 E7b9 |
Am7 F#m7b5 | Bm7b5 E7b9 | Am7 F#m7b5 | Dm7 G7alt |
Cm7 Am7b5 | Ab7 G7+ | Bb7#11 A7+ | Ab7#11 G7+ G7+ Gm7/C |
FM7 Dm7 | BbM7 | Gm7 C7 | FM7 |
Am7 D7b9 | Gm7 D7alt | Gm7 Gm7/C | FM7 |",5,major,F,82.99999999999999,60,I vi IV ii V7 I iii V/II ii V/II ii ii I I vi IV ii V7 I iii V/II ii V/II ii ii I I #ivø V/III iii biiø #ivø V/III iii biiø vi V/V v iiiø Vsub/II II7 Vsub/III III7 Vsub/II II7 II7 ii I vi IV ii V7 I iii V/II ii V/II ii ii I
Jingle Bells,J. Pierpont,G,4 4,32,"G | G | G | C |
Am | D7 | D7 | G |
G | G | G | C |
Am | D7 | D7 | G |
G | G | G | G |
C | G | A7 | D D7 |
G | G | G | G |
C | G | D7 | G |",7,major,G,64.3,33,I I I IV ii V7 V7 I I I I IV ii V7 V7 I I I I I IV I V/V V V7 I I I I IV I V7 I
Hornin' In,Thelonious Monk,Db,4 4,31,"Db9 | Db9 | F#9 | B7 E7 |
A7 | Ab7 | C#6 D7 | Ebm7 Ab7 |
Db9 | Db9 | F#9 | B7 E7 |
A7 | Ab7 | Db6 | Db6 |
D9sus4 | D9sus4 | Eb7#9 | D9sus4 |
D9sus4 | D9sus4 | D9 | Db9 |
Db9 | F#9 | B7 E7 | A7 |
Ab7 | Db6 | Db6 |",1,major,Db,28.8,36,I7 V/IV IV7 bVII7 bIII7 Vsub/V V7 I bII7 ii V7 I7 V/IV IV7 bVII7 bIII7 Vsub/V V7 I I bII7 bII7 II7 bII7 bII7 bII7 bII7 I7 V/IV IV7 bVII7 bIII7 Vsub/V V7 I I
Love Letters,Victor Young and Edward Heyman,G,4 4,32,"GM7 | GM7 | Em7 | Em7 |
Am7 | Am7b5 D7 | GM7 | GM7 |
C#m7b5 | F#7b9 | Bm7 | E7b9 |
Am7 | E7b9 | Am7 | D7 |
GM7 | GM7 | Em7 | Em7 |
Am7 | Am7b5 D7 | GM7 | GM7 G7 |
CM7 | F7 | GM7 | Bbo7 |
Am7 | D7 D7b9 | G6 | Am7 D7 |",7,major,G,58.69999999999999,37,I I vi vi ii iiø V7 I I #ivø V/III iii V/II ii V/II ii V7 I I vi vi ii iiø V7 I I V/IV IV bVII7 I biiio ii V7 V7 I ii V7
Love Is The Sweetest Thing,Ray Noble,D,4 4,32,"D6 Bm7 | Em7 A7 | D6 Bm7 | Em7 A7 |
Am7 D7 | GM7 Em7 | Bm7 E7 | Em7 A7 |
D6 Bm7 | Em7 A7 | D6 Bm7 | Em7 A7 |
Am7 D7 | GM7 Em7 | Bm7 E7 | A7 D6 |
Bm7 | F#m7 B7 | Em7 A7 | DM7 |
C#m7b5 F#7 | Bm7 | E7 | Em7 A7 |
D6 Bm7 | Em7 A7 | D6 Bm7 | Em7 A7 |
Am7 D7 | GM7 Em7 | Bm7 Bm7 E7 A7 | D6 |",2,major,D,104.30000000000001,61,I vi ii V7 I vi ii V7 v V/IV IV ii vi II7 ii V7 I vi ii V7 I vi ii V7 v V/IV IV ii vi V/V V7 I vi iii V/II ii V7 I viiø V/VI vi II7 ii V7 I vi ii V7 I vi ii V7 v V/IV IV ii vi vi V/V V7 I
Moment To Moment,Henry Mancini,C,4 4,36,"Am7 | FM7/A | Am6 | Dm7 |
Am7 Am7/G | F#m7b5 F7 | Bm7/E | E7b9 |
Am7 | FM7/A | Am6 | Dm7 |
CM7 | G7 | Em7b5 | A7b9 |
Dm7 | Bm7b5 E7b9 | Am7 | Am7/G |
F#m7b5 | F7 | Bm7/E | E7b9 |
Am7 | FM7/A | Am6 | Dm7 |
CM7 | G7 | Em7b5 | A7b9 |
Dm7 | G7 | CM7 | Bm7b5 E7b9 |",9,minor,Am,59.29999999999999,40,i VI i iv i i natviø VI7 ii V7 i VI i iv III bVII7 vø V/IV iv iiø V7 i i natviø VI7 ii V7 i VI i iv III bVII7 vø V/IV iv V/III III iiø V7
I'm Beginning To See The Light,"Don George, Johnny Hodges, Duke Ellington, and Harry James",G,4 4,32,"G6 C7 | Bm7 Em7 | Am7 Am7 Am7/D D7 | Bbm7 Eb7 |
G7 F#7 | F7 E7b9 | Am7 Am7 Am7/D D7 | GM7 GM7 Am7 D7 |
G6 C7 | Bm7 Em7 | Am7 Am7 Am7/D D7 | Bbm7 Eb7 |
G7 F#7 | F7 E7b9 | Am7 Am7 Am7/D D7 | GM7 |
F#m7 | B7 | Fm7 | Bb7 |
Em7 | A7 | Bbm7 Eb7 | Am7 D7 |
G6 C7 | Bm7 Em7 | Am7 Am7 Am7/D D7 | Bbm7 Eb7 |
G7 F#7 | F7 E7b9 | Am7 Am7 Am7/D D7 | GM7 |",7,major,G,94.5,70,I Vsub/III iii vi ii ii ii V7 biii bVI7 Vsub/VII VII7 Vsub/VI V/II ii ii ii V7 I I ii V7 I Vsub/III iii vi ii ii ii V7 biii bVI7 Vsub/VII VII7 Vsub/VI V/II ii ii ii V7 I vii III7 bvii bIII7 vi II7 biii bVI7 ii V7 I Vsub/III iii vi ii ii ii V7 biii bVI7 Vsub/VII VII7 Vsub/VI V/II ii ii ii V7 I
I Love Being Here With You,Peggy Lee and Bill Schluger,Bb,4 4,32,"Bb13 B13 | Bb13 | Eb9 E9 | Eb9 |
Bb13 A13 | Ab13 G7#9 | Cm7 F11 | Bb13 |
Bb13 B13 | Bb13 | Eb9 E9 | Eb9 |
Bb13 A13 | Ab13 G7#9 | Cm7 F11 | Bb13 |
D7sus4 | D7#5 | G7 | G7 |
C9 | C9 | F13 | F7+ |
Bb7#9 B13 | Bb13 | E9 | Eb9 |
Bb13 A13 | Ab13 G7#9 | Cm7 F11 | Bb13 F7#5b9 |",3,major,Eb,41.89999999999997,47,V7 Vsub/V V7 I7 bII7 I7 V7 Vsub/IV Vsub/III V/VI vi V/V V7 V7 Vsub/V V7 I7 bII7 I7 V7 Vsub/IV Vsub/III V/VI vi V/V V7 VII7 V/III III7 V/VI VI7 V/II II7 V/V V7 Vsub/V V7 bII7 I7 V7 Vsub/IV Vsub/III V/VI vi V/V V7 II7
I'll Close My Eyes,Buddy Kaye and Billy Reid,G,4 4,32,"GM7 | GM7 | F#m7b5 | B7b9 |
Em7 | Em7 | Dm7 | G7 |
CM7 | F7 | GM7 | GM7 |
F#7 | F#7 | Bm7 Bb7#5 | Am7 D7b9 |
GM7 | GM7 | F#m7b5 | B7b9 |
Em7 | Em7 | Dm7 | G7 |
CM7 | F7 | GM7 F9#11 | E7 |
Am7 | D7 D7b9 | G6 | Am7 D7 |",7,major,G,52.79999999999999,37,I I viiø V/VI vi vi v V/IV IV bVII7 I I VII7 V/III iii Vsub/II ii V7 I I viiø V/VI vi vi v V/IV IV bVII7 I Vsub/VI V/II ii V7 V7 I ii V7
Helen's Song,George Cables,D,4 4,46,"DM7 | DM7 | DM7 | DM7 |
DM7 | DM7 | Bm | Bm |
Abo7 Db7#5#9 | G#11 D/F# | FMb5 Bm | C9sus4 |
C9sus4 | Bm7 Bbo7 | A11 | Ab13#11 |
Gm C9 | Bm GM7 | Em Asus4 | DM7 Bm/F# |
Bm/F# | Bm/F# Bm/F# A/E G/D | G/D | DM7 |
DM7 | DM7 | DM7 | DM7 |
DM7 | Bm | Bm | Abo7 Db7#5#9 |
G#11 D/F# | FMb5 Bm | C9sus4 | C9sus4 |
Bm7 Bbo7 | A11 | Ab13#11 | Gm C9 |
Bm GM7 | Em Asus4 | DM7 Bm/F# | Bm/F# |
Bm/F# | D7#5#9 |",2,major,D,91.39999999999999,65,I I I I I I vi vi #ivo VII7 #IV7 I bIII vi bVII7 Vsub/VI vi bvio V7 Vsub/IV iv Vsub/VI vi IV ii V7 I vi vi vi vi V IV IV I I I I I I vi vi #ivo VII7 #IV7 I bIII vi bVII7 Vsub/VI vi bvio V7 Vsub/IV iv Vsub/VI vi IV ii V7 I vi vi vi I7
It's Always You,James Van Heusen,Ab,4 4,32,"Bbm7 Eb7 | AbM7 Ao7 | Bbm7 Eb7 | Cm7 F7 |
Bbm7 Eb7 | AbM7 Ao7 | Bbm7 Eb7 | Cm7 F7 |
Bbm7 Eb7 | AbM7 Ao7 | Bbm7 Eb7 | Cm7 F7 |
Bbm7 Eb7 | AbM7 Ao7 | Bbm7 Eb7 | AbM7 |
Ebm7 Ab7 | Ebm7 | DbM7 | DbM7 |
Fm7 Bb7 | Fm7 Bb7 | Bbm7 | Eb7 |
Bbm7 Eb7 | AbM7 Ao7 | Bbm7 Eb7 | Cm7 F7 |
Bbm7 Eb7 | AbM7 Ao7 | Bbm7 Eb7 | AbM7 |",8,major,Ab,89.1,57,ii V7 I biio ii V7 iii V/II ii V7 I biio ii V7 iii V/II ii V7 I biio ii V7 iii V/II ii V7 I biio ii V7 I v I7 v IV IV vi II7 vi II7 ii V7 ii V7 I biio ii V7 iii V/II ii V7 I biio ii V7 I
My Heart Stood Still,Richard Rodgers,F,4 4,32,"FM7 Abo7 | Gm7 C7 | FM7 F7+ | Bb6 Bbm7 |
FM7 D7 | Gm7 C7 | FM7 | Gm7 C7 |
FM7 Abo7 | Gm7 C7 | FM7 F7+ | Bb6 Bbm7 |
FM7 D7 | Gm7 C7 | FM7 | FM7 |
Fm | Fm | Db7 C7 | C7 |
Ab7 G7 | G7 | Db7 C7 | C7 |
FM7 Abo7 | Gm7 C7 | FM7 F7+ | Bb6 Bbm7 |
Am7 D7 | Gm7 C7 | FM7 | FM7 |",5,major,F,76.1,54,I biiio ii V7 I V/IV IV iv I V/II ii V7 I ii V7 I biiio ii V7 I V/IV IV iv I V/II ii V7 I I i i Vsub/V V7 V7 Vsub/II II7 II7 Vsub/V V7 V7 I biiio ii V7 I V/IV IV iv iii V/II ii V7 I I
Listen Here,Eddie Harris,Bb,4 4,16,"Bb7 | Eb7 | Bb7 | Eb7 |
Bb7 | Eb7 | Bb7 | Eb7 |
Bb7 | Eb7 | Bb7 | Eb7 |
Bb7 | Eb7 | Bb7 | Eb7 |",3,major,Eb,20.7,16,V7 I7 V7 I7 V7 I7 V7 I7 V7 I7 V7 I7 V7 I7 V7 I7
Maybe September,Percy Faith,Eb,4 4,48,"Gm | Gm | Am7 | D7 |
Gm Gm Gm D | Gm7 Gm7 Gm6 Ebm | Cm7 | F7 |
Bb Bb Am7b5 D7+ | Gm Gm6 | A7+ A7 | A7b5 A7 |
Cm69 | Cm69 Cm6 | D7b9 | D7#5b9 D7 |
Gm | Gm | Am7 | D7 |
Gm Gm Gm D | Gm7 Gm7 Gm6 Ebm | Cm7 | F7 |
Bb Bb Am7b5 D7+ | Gm7 Gm7 C9b5 C9 | Cm | Eb7 |
Gm7 | Am7b5 D7+ | G | G |
Am9 Am9 Am9 Am7 | D9b5 D9b5 D9b5 D9 | GM9 GM9 GM9 GM7 | Bm |
Am7 | Am7 | GM7 | E7 |
Am9 Am9 Am9 Am7 | D9b5 D9b5 D9b5 D9 | Bm | Bb7 |
Am7 | Am7 | G | Gm Gm Gm D7 |",7,minor,Gm,130.90000000000006,93,i i ii V7 i i i V i i i vi iv V/III III III iiø V7 i i II7 II7 II7 II7 iv iv iv V7 V7 V7 i i ii V7 i i i V i i i vi iv V/III III III iiø V7 i i IV7 IV7 iv VI7 i iiø V7 I I ii ii ii ii V7 V7 V7 V7 I I I I natiii ii ii I V/II ii ii ii ii V7 V7 V7 V7 natiii Vsub/II ii ii I i i i V7
Lady Bird,Tadd Dameron,C,4 4,16,"CM7 | CM7 | Fm7 | Bb7 |
CM7 | CM7 | Bbm7 | Eb7 |
AbM7 | AbM7 | Am7 | D7 |
Dm7 | G7 | CM7 EbM7 | AbM7 DbM7 |",8,major,Ab,17.5,18,III III vi II7 III III ii V7 I I bii #IV7 #iv V/III III V I IV
Haunted Heart,Arthur Schwartz and Howard Dietz,Eb,4 4,36,"Eb6 Cm7 | Fm7 Bb7 | Eb6 Cm7 | Fm7 Bb7 |
Eb6 Ab6 | Gm7 C7#5 | Fm7 | Bb7 |
Fm7 Eo7 | Fm7 F#o7 | Gm7 | Cm7 |
Fm7 | Bb7 | Gm7 C7 | Fm7 Bb7 |
Eb6 Cm7 | Fm7 Bb7 | Eb6 Cm7 | Fm7 Bb7 |
Eb6 Ab6 | Gm7 C7#5 | Bbm7 | Eb7 |
Ab6 | Ao7 | Eb6/Bb | Cm7 |
Am7b5 | D7#5 | Gm7 | C7b9 |
Fm7 | Bb7 | Eb6 | Fm7 Bb7 |",3,major,Eb,86.80000000000003,53,I vi ii V7 I vi ii V7 I IV iii V/II ii V7 ii biio ii biiio iii vi ii V7 iii V/II ii V7 I vi ii V7 I vi ii V7 I IV iii VI7 v V/IV IV #ivo I vi #ivø V/III iii V/II ii V7 I ii V7
Moon River,Henry Mancini,C,3 4,38,"CM7 | Am7 | F7#11 | CM7 |
F7#11 | CM7 | Bm7b5 | E7alt |
Am7 | C7/G | FM7 | Bb7 |
Am7 Am7 Am7/G | F#m7b5 B7 B7 | Em7 A7 A7 | Dm7 G7 G7 |
CM7 | Am7 | F7#11 | CM7 |
F7#11 | CM7 | Bm7b5 | E7alt |
Am7 | Am7/G | F#m7b5 | FM7 |
CM7 | F7#11 | CM7 | F7#11 |
CM7 | Am7 | Dm7 | G7 |
CM7 | Dm7 Dm7 G7 |",0,major,C,69.5,48,I vi IV7 I IV7 I viiø V/VI vi V/IV IV Vsub/VI vi vi vi #ivø VII7 V/III iii VI7 V/II ii V7 V7 I vi IV7 I IV7 I viiø V/VI vi vi #ivø IV I IV7 I IV7 I vi ii V7 I ii ii V7
Ill Wind,Harold Arlen,Bb,4 4,32,"Bb6 | Am7 D7b9 | G7sus4 G7 | Ebm7 Ab9 |
Dm7 G7 | Cm7b5 F7b9 | Bb6 G7alt | Cm7 F7alt |
F7alt F7alt Cm7 Dbo7 | Am7/D D7b9 | G7sus4 G7 | Ebm7 Ab9 |
Dm7 G7 | Cm7b5 F7b9 | Bb6 F7#9 | Bb6 |
D7 Em7 | Fo7 D7/F# | Dm7/G | G13b9 |
D7 Em7 | Fo7 D7/F# | G7 Db9#11 | Cm7b5 F7b9 |
Bb6 | Am7 D7b9 | G7sus4 G7 | Ebm7 Ab9 |
Dm7 G7 | Cm7b5 F7b9 | Bb6 Ab13 | Bb6 Bb6 Cm7 F7 |",10,major,Bb,63.69999999999997,63,I vii V/VI VI7 VI7 iv bVII7 iii V/II iiø V7 I V/II ii V7 V7 V7 ii biiio vii V/VI VI7 VI7 iv bVII7 iii V/II iiø V7 I V7 I III7 #iv vo III7 iii VI7 III7 #iv vo V/VI VI7 Vsub/II iiø V7 I vii V/VI VI7 VI7 iv bVII7 iii V/II iiø V7 I bVII7 I I ii V7
Hackensack,Thelonious Monk,F,4 4,32,"F | Bb7 | F | Am7 D7 |
Gm7 | C7 | F | C7 |
F | Bb7 | F | Am7 D7 |
Gm7 | C7 | F | F |
Bb7 | Bbo7 | F/C | D7b5 |
G7 | G7 | C7 | C7 |
F | Bb7 | F | Am7 D7 |
Gm7 | C7 | F | F |",5,major,F,52.399999999999984,35,I IV7 I iii V/II ii V7 I V7 I IV7 I iii V/II ii V7 I I IV7 ivo I V/II II7 V/V V7 V7 I IV7 I iii V/II ii V7 I I
I'm Getting Sentimental Over You,George Bassman,F,4 4,36,"F | E7 | Am7b5 | D7 |
G7 | C7 | F | C7 |
F | E7 | Am7b5 | D7 |
G7 | C7 | F Bbm | F E7 |
Am | Am | B7 | E7 |
E7 | E7 | Am Ao | C7 |
F | E7 | Am7b5 | D7 |
G7 | C7 | F Am7b5 | D7 |
G7 | C7 | F | F |",9,minor,Am,45.59999999999999,40,VI V7 iø IV7 V/III V/VI VI V/VI VI V7 iø IV7 V/III V/VI VI bii VI V7 i i V/V V7 V7 V7 i io V/VI VI V7 iø IV7 V/III V/VI VI iø IV7 V/III V/VI VI VI
My Melancholy Baby,Ernie Burnett and George A. Norton,Eb,4 4,32,"EbM7 Bb7#5 | EbM7 Bb7#5 | EbM7 | Gm7 Gbm7 Fm7 Bb7 |
Fm7 C7 | Fm7 C7 | F7 | Bb7 |
EbM7 Bb7#5 | EbM7 Bb7#5 | EbM7 | Gm7 Gbm7 Fm7 Bb7 |
F7 | Bb G7 | C7 F7 | Bb7 |
EbM7 | Db9 C9 | Fm7 C7#5 | Fm7 |
Bb7 Fm7 | B7#5 Bb7 | Gm7 Cm7 | Fm7 Bb7 |
EbM7 | Db9 C9 | Fm7 C7#5 | Fm7 |
AbM7 AbM7 Am7b5 Ab9 | Gm7 C7 | Fm7 Bb7 | Eb6 Eb6 Fm7 Bb7 |",3,major,Eb,90.5,62,I V7 I V7 I iii biii ii V7 ii V/II ii V/II V/V V7 I V7 I V7 I iii biii ii V7 V/V V V/VI V/II V/V V7 I Vsub/VI V/II ii V/II ii V7 ii Vsub/V V7 iii vi ii V7 I Vsub/VI V/II ii V/II ii IV IV #ivø Vsub/III iii V/II ii V7 I I ii V7
Opus One,Sy Oliver,C,4 4,32,"G | G | C9 | C9 |
A9 | Am7 D9 | G C#o7 | Am7 Am7 D9 D9+ |
G | G | C9 | C9 |
A9 | Am7 D9 | G C9 | G |
Bb Gm7 | Cm7 Ao7 | Bb G7+ | C9 F9+ |
Db Bbm7 | Ebm7 Co7 | Db Db Db Db Db Db Db Db13 | Db13 D13 D13 D13 D13 D13 D13 D13 |
G | G | C9 | C9 |
A9 | Am7 D9 | G C9 | G G#o7 Am7 D7 |",7,major,G,67.69999999999997,64,I I IV7 IV7 II7 ii V7 I #ivo ii ii V7 V7 I I IV7 IV7 II7 ii V7 I IV7 I bIII i iv iio bIII V/IV IV7 bVII7 #IV biii bvi ivo #IV #IV #IV #IV #IV #IV #IV #IV7 #IV7 V7 V7 V7 V7 V7 V7 V7 I I IV7 IV7 II7 ii V7 I IV7 I biio ii V7
I'll String Along With You,Harry Warren,C,4 4,32,"Eb | Eb | Eb | G7 C7 |
Fm7 | Bb7 | Bb7 | Eb Bb7 |
Eb | Eb | Eb | G7 C7 |
Fm7 | Bb7 | Bb7 | Eb Eb7 |
Ab Ao | Eb Gbo | Bb7 Eo | Fm7 Bb7 |
Eb Eb7 | Ab Abm | Eb F7 | Bb7+ |
Eb | Eb | Eb | G7 C7 |
Fm7 | Bb7 | Bb7 | Eb |",3,major,Eb,67.5,44,I I I V/VI V/II ii V7 V7 I V7 I I I V/VI V/II ii V7 V7 I V/IV IV #ivo I biiio V7 biio ii V7 I V/IV IV iv I V/V V7 I I I V/VI V/II ii V7 V7 I
Mambo Bounce,Sonny Rollins,Eb,4 4,24,"Eb | Fm7 | Fm7b5 | Bb7 |
Eb | Fm7 | Fm7 | Bb7 |
Gm7 | AbM7 | Fm7 | Bb7 |
Eb | Fm7 | Fm7b5 | Bb7 |
Eb | Fm7 | Fm7b5 | Bb7 |
Gm7 | AbM7 | Fm7 | Eb |",3,major,Eb,43.199999999999996,24,I ii iiø V7 I ii ii V7 iii IV ii V7 I ii iiø V7 I ii iiø V7 iii IV ii I
Jingles,Wes Montgomery,G,4 4,56,"Em7 | Em7 | Em7 | Em7 |
Em7 | Em7 | Em7 | E7 |
Am7 | Am7 | Am7 | Am7 |
F#m7b5 | B7b9 | Em7 | B7 |
Em7 | Em7 | Em7 | Em7 |
Em7 | Em7 | Em7 | E7 |
Am7 | Am7 | Am7 | Am7 |
F#m7b5 | B7b9 | Em7 | E7 |
Am7 | D7 | GM7 | Abm7 Db7 |
Gm7 | C7 | FM7 | F#m7 B7b9 |
Em7 | Em7 | Em7 | Em7 |
Em7 | Em7 | Em7 | E7 |
Am7 | Am7 | Am7 | Am7 |
F#m7b5 | B7b9 | Em7 | B7 |",4,minor,Em,98.0,58,i i i i i i i V/IV iv iv iv iv iiø V7 i V7 i i i i i i i V/IV iv iv iv iv iiø V7 i V/IV iv V/III III natiii natVI7 iii VI7 bII ii V7 i i i i i i i V/IV iv iv iv iv iiø V7 i V7
I Hear A Rhapsody,"George Fragos, Jack Baker, and Dick Gasparre",Eb,4 4,32,"Cm9 F#7 | Fm7 Bb7 | EbM7 Ab9 | Gm7b5 C7b9 |
Fm7b5 | Bb7 | EbM7 | Dm7b5 G7alt |
Cm9 F#7 | Fm7 Bb7 | EbM7 Ab9 | Gm7b5 C7b9 |
Fm7b5 | Bb7 | EbM7 | Am7b5 D7 |
Gm7 | Am7b5 D7 | Gm | Cm7 F7 |
BbM7 | Fm7 | Ab7 | G7alt |
Cm9 F#7 | Fm7 Bb7 | EbM7 Gm7b5 | Db7 C7 |
Fm7b5 | Bb7 | EbM7 | Dm7b5 G7 |",3,major,Eb,56.799999999999976,49,vi Vsub/II ii V7 I Vsub/III iiiø V/II iiø V7 I viiø V/VI vi Vsub/II ii V7 I Vsub/III iiiø V/II iiø V7 I #ivø V/III iii #ivø V/III iii vi V/V V ii Vsub/III V/VI vi Vsub/II ii V7 I iiiø Vsub/VI V/II iiø V7 I viiø III7
Kickin' The Gong Around,Harold Arlen,Ab,4 4,48,"Fm7 C7 | Fm7 C7 | Fm7 C7 | Fm7 C7 |
Fm7 C7 | Fm7 C7 | Fm7 C7 | Fm7 D7 |
Gm7 D7 | Gm7 D7 | Gm7 D7 | Gm7 C7 |
Fm7 C7 | Fm7 C7 | Fm7 C7 | Fm7 C7 |
F6 | F6 | Bbm7 F6 | Bbm7 F6 |
Db9 C9 | Db9 C9 | F6 | C7 |
F6 | F6 | Bbm7 F6 | Bbm7 F7 |
Db9 C9 | Db9 C9 | F6 | F6 E7 |
A6 | A6 | E7 | E7 |
C6 | G7 | C7 | C7 |
F6 | F6 | Bbm7 F6 | Bbm7 F6 |
Db9 C9 | Db9 C9 | F6 | F6 |",5,major,F,95.80000000000003,77,i V7 i V7 i V7 i V7 i V7 i V7 i V7 i V/II ii V/II ii V/II ii V/II ii V7 i V7 i V7 i V7 i V7 I I iv I iv I Vsub/V V7 Vsub/V V7 I V7 I I iv I iv I7 Vsub/V V7 Vsub/V V7 I I V/III III III VII7 VII7 V V/V V7 V7 I I iv I iv I Vsub/V V7 Vsub/V V7 I I
Mr. Pastorius,Miles Davis,C,4 4,17,"C13 C13 A13#11 Ab7b5 | Gm6 Gm6 A13 D7b9 | Eb/A Ab7#11 | EbM7/G A13 Ab13 G13 |
C13 C13 A13#11 Ab7b5 | Gm6 Gm6 A13 D7b9 | Eb/A Ab7#11 | EbM7b5 Ab13 |
Dm7b5 D7b9 G7 G7#5 | AbM7b5/G Cm7 | Dm7b5 AbM7add13 | AbM7b5/G G7 |
Cm9 Cm7/Bb Am7b5 Ab7b5 | Gm69 Gm69 A13 D7b9 | Am7b5 Ab7b5 | EbM7 D7b9 |
G7sus4 G7 |",7,minor,Gm,51.59999999999999,50,IV7 IV7 II7 bII7 i i V/V V7 VI bII7 VI II7 bII7 V/IV IV7 IV7 II7 bII7 i i V/V V7 VI bII7 VI bII7 vø V7 I7 I7 bII iv vø bII bII V/IV iv iv iiø bII7 i i V/V V7 iiø bII7 VI V7 I7 I7
If Ever I Would Leave You,Frederick Loewe,Bb,4 4,56,"F9 | F9 | BbM9 Bb | Bb Bb Bb Fo7 |
F7 F7 F7 Go7 | F7 Bbo7 Bbo7 F7b9 | BbM9 Bb6 | Bb6 Dm Bb7 Bb7 |
Eb | Eb Cm F7 F7 | BbM9 Bb6 | Bb6 |
Cm7 G7 | Cm Cm7 Cm7 Dm7 | Cm7 | F7 |
F9 | F9 | BbM9 Bb | Bb Bb Bb Fo7 |
F7 F7 F7 Go7 | F7 Bbo7 Bbo7 F7b9 | BbM9 Bb6 | Bb6 Dm Bb7 Bb7 |
Eb | Eb Cm F7 F7 | BbM9 Bb6 | Bb6 |
Cm7 G7 | Cm Cm7 Cm7 F7b9 | Bb | Bb |
D D+ | D6 D6 G A7 | D DM7 | D6 |
F# B | F# F# Em7 A7 | D | F7 |
F9 | F9 | BbM9 | BbM9 BbM9 BbM9 Fo7 |
Cm7 F F Go7 | F7 EbM7 EbM7 Cm6 | D7sus4 D7 | Gm7 Dm Bb7 Bb7 |
Eb EbM7 | Cm7 Ebm | Bb | C9 |
F9 | Cm7 F7b9 | Bb6 | Bb6 |",10,major,Bb,184.00000000000014,125,V7 V7 I I I I I vo V7 V7 V7 vio V7 io io V7 I I I iii I7 V/IV IV IV ii V7 V7 I I I ii V/II ii ii ii iii ii V7 V7 V7 I I I I I vo V7 V7 V7 vio V7 io io V7 I I I iii I7 V/IV IV IV ii V7 V7 I I I ii V/II ii ii ii V7 I I III III7 III III VI V/III III III III bVI bII bVI bVI #iv V/III III V7 V7 V7 I I I I vo ii V V vio V7 IV IV ii III7 V/VI vi iii I7 V/IV IV IV ii iv I V/V V7 ii V7 I I
Newk's Fadeaway,Sonny Rollins,Bb,4 4,36,"Bb | G7 | Cm | F7 |
Bb | Eb Bbo7 | Bb | Bb7 |
Eb | Ebm | Bb | Bb |
Bb | Eb | Bb G7 | Cm F7 |
Bb | Eb Ebm | Bb | Bb |
D7 | D7 | G | G |
C7 | C7 | F | F |
Bb | Eb Bbo7 | Bb | Bb |
Bb | Eb Ebm | Bb | Bb |",10,major,Bb,58.399999999999984,42,I V/II ii V7 I IV io I V/IV IV iv I I I IV I V/II ii V7 I IV iv I I III7 V/VI VI VI II7 V/V V V I IV io I I I IV iv I I
Memories Of Tomorrow,Keith Jarrett,C,4 4,24,"Am | AmM7 | Am7 | Em7 |
FM7 F#o7 | CM7/G | G7sus4 | CM7 |
DM7/F# | FM7 | CM7/E | EbM7 A7 |
AbM7 | Fm7 | Bb7sus4 | CM7 |
Bm7 Bb7 | Am7 Fm7/Ab | CM7/G DM7/F# | FM7 |
CM7/G | G7sus4 | C | Bm7 Bb7 |",0,major,C,38.89999999999999,30,vi vi vi iii IV #ivo I V7 I II IV I bIII VI7 bVI iv bVII7 I vii Vsub/VI vi iv I II IV I V7 I vii bVII7
How About You?,Burton Lane,Eb,4 4,32,"EbM7 Fm7 | Gm7 Gbo7 | Fm7 | Bb7 |
EbM7 Fm7 | Gm7 Gbo7 | Gm7b5 | C7alt |
F7 | Fm7b5 Bb7b9 | EbM7 | Am7 D7 |
GM7 | Am7 D7 | G7 C7 | Fm7 Bb7 |
EbM7 Fm7 | Gm7 Gbo7 | Fm7 | Bb7 |
Bbm7 | Eb7 | AbM7 | Db7 |
EbM7 | B7 | AbM7 Fm7 | Dm7b5 G7 |
Gm7 Gbm7 | Fm7 Bb7 | EbM7 | Fm7 Bb7 |",3,major,Eb,61.39999999999998,48,I ii iii biiio ii V7 I ii iii biiio iiiø V/II II7 iiø V7 I #iv V/III III #iv V/III V/VI V/II ii V7 I ii iii biiio ii V7 v V/IV IV bVII7 I bVI7 IV ii viiø III7 iii biii ii V7 I ii V7
